State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Haryana,Hisar,125039,True,True,,,,,False,True,,False
Haryana,Hisar,125042,True,True,,,,,False,True,,False
Haryana,Hisar,125044,True,True,,,,,False,True,,False
Haryana,Hisar,125047,True,True,,,,,False,True,,False
Haryana,Fatehabad,125048,True,True,,,,,False,True,,False
Haryana,Hisar,125049,True,True,,,,,False,True,,False
Haryana,Fatehabad,125050,True,True,,,,,False,True,,False
Haryana,Fatehabad,125051,True,True,,,,,False,True,,False
Haryana,Fatehabad,125052,True,True,,,,,False,True,,False
Haryana,Fatehabad,125053,True,True,,,,,False,True,,False
Haryana,Sirsa,125054,True,True,,,,,False,True,,False
Haryana,Sirsa,125055,True,True,,,,,False,True,,False
Haryana,Fatehabad,125056,True,True,,,,,False,True,,False
Haryana,Sirsa,125058,True,True,,,,,False,True,,False
Haryana,Sirsa,125060,True,True,,,,,False,True,,False
Haryana,Sirsa,125075,True,True,,,,,False,True,,False
Haryana,Sirsa,125076,True,True,,,,,False,True,,False
Haryana,Sirsa,125077,True,True,,,,,False,True,,False
Haryana,Sirsa,125078,True,True,,,,,False,True,,False
Haryana,Sirsa,125101,True,True,,,,,False,True,,False
Haryana,Sirsa,125102,True,True,,,,,False,True,,False
Haryana,Sirsa,125103,True,True,,,,,False,True,,False
Haryana,Sirsa,125104,True,True,,,,,False,True,,False
Haryana,Fatehabad,125106,True,True,,,,,False,True,,False
Haryana,Sirsa,125110,True,True,,,,,False,True,,False
Haryana,Fatehabad,125111,True,True,,,,,False,True,,False
Haryana,Hisar,125112,True,True,,,,,False,True,,False
Haryana,Fatehabad,125113,False,True,,,,,False,True,,False
Haryana,Fatehabad,125120,True,True,,,,,False,True,,False
Haryana,Hisar,125121,True,True,,,,,False,True,,False
Haryana,Fatehabad,125133,True,True,,,,,False,True,,False
Haryana,Sirsa,125201,True,True,,,,,False,True,,False
Haryana,Jind,126101,True,True,,,,,False,True,,False
Haryana,Jind,126102,True,True,,,,,False,True,,False
Haryana,Jind,126110,True,True,,,,,False,True,,False
Haryana,Jind,126111,True,True,,,,,False,True,,False
Haryana,Jind,126112,True,True,,,,,False,True,,False
Haryana,Jind,126113,True,True,,,,,False,True,,False
Haryana,Jind,126114,True,True,,,,,False,True,,False
Haryana,Jind,126115,True,True,,,,,False,True,,False
Haryana,Jind,126116,True,True,,,,,False,True,,False
Haryana,Jind,126125,True,True,,,,,False,True,,False
Haryana,Jind,126152,True,True,,,,,False,True,,False
Haryana,Bhiwani,127021,True,True,,,,,False,True,,False
Haryana,Bhiwani,127022,True,True,,,,,False,True,,False
Haryana,Bhiwani,127025,True,True,,,,,False,True,,False
Haryana,Bhiwani,127026,True,True,,,,,False,True,,False
Haryana,Bhiwani,127027,False,True,,,,,False,True,,False
Haryana,Bhiwani,127028,True,True,,,,,False,True,,False
Haryana,Bhiwani,127029,True,True,,,,,False,True,,False
Haryana,Bhiwani,127030,True,True,,,,,False,True,,False
Haryana,Bhiwani,127031,True,True,,,,,False,True,,False
Haryana,Bhiwani,127032,True,True,,,,,False,True,,False
Haryana,Bhiwani,127035,True,True,,,,,False,True,,False
Haryana,Bhiwani,127040,True,True,,,,,False,True,,False
Haryana,Bhiwani,127041,True,True,,,,,False,True,,False
Haryana,Bhiwani,127042,True,True,,,,,False,True,,False
Haryana,Bhiwani,127043,True,True,,,,,False,True,,False
Haryana,Bhiwani,127045,True,True,,,,,False,True,,False
Haryana,Bhiwani,127046,True,True,,,,,False,True,,False
Haryana,Bhiwani,127111,True,True,,,,,False,True,,False
